Karakteristik Rumah Tangga,,,,,,
,Karakteristik Rumah Tangga Menurut Status Kemisikinan,,,,,
,Rumah Tangga Miskin,,,Rumah Tangga Tidak Miskin,,
,2024,,,2024,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
Rata-rata jumlah anggota rumah tangga (orang),4.78,-,-,3.77,-,-
Persentase kepala rumah tangga wanita,11.05,-,-,11.92,-,-
Rata-rata usia kepala rumah tangga (tahun),50.73,-,-,50.04,-,-
Rata-rata lama sekolah kepala rumah tangga (tahun),6.48,-,-,8.82,-,-
Tingkat pendidikan kepala rumah tangga (%),-,-,-,-,-,-
a. Tidak tamat SD,24.86,-,-,13.5,-,-
b. SD,38.67,-,-,28.43,-,-
c. SMP,17.25,-,-,17.09,-,-
d. SMA,17.37,-,-,30.57,-,-
e. PT,1.85,-,-,10.41,-,-
Sumber penghasilan utama rumah tangga (%),-,-,-,-,-,-
a. Tidak Bekerja,11.43,-,-,11.14,-,-
b. Pertanian,49.09,-,-,30.83,-,-
c. Industri,18.04,-,-,19.98,-,-
d. Lainnya,21.44,-,-,38.05,-,-
