Karakteristik Rumah Tangga,,,,,,
,Karakteristik Rumah Tangga Menurut Status Kemisikinan,,,,,
,Rumah Tangga Miskin,,,Rumah Tangga Tidak Miskin,,
,2023,,,2023,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
Rata-rata jumlah anggota rumah tangga (orang),4.71,-,-,3.71,-,-
Persentase kepala rumah tangga wanita,11.29,-,-,12.84,-,-
Rata-rata usia kepala rumah tangga (tahun),50.4,-,-,49.82,-,-
Rata-rata lama sekolah kepala rumah tangga (tahun),6.46,-,-,8.64,-,-
Tingkat pendidikan kepala rumah tangga (%),-,-,-,-,-,-
a. Tidak tamat SD,26,-,-,15.05,-,-
b. SD,38.01,-,-,28.18,-,-
c. SMP,16.1,-,-,17.03,-,-
d. SMA,17.38,-,-,29.28,-,-
e. PT,2.51,-,-,10.46,-,-
Sumber penghasilan utama rumah tangga (%),-,-,-,-,-,-
a. Tidak Bekerja,12.07,-,-,11.74,-,-
b. Pertanian,48.86,-,-,31.26,-,-
c. Industri,6.52,-,-,9.34,-,-
d. Lainnya,32.55,-,-,47.66,-,-
