Karakteristik Rumah Tangga,,,,,,
,Karakteristik Rumah Tangga Menurut Status Kemisikinan,,,,,
,Rumah Tangga Miskin,,,Rumah Tangga Tidak Miskin,,
,2020,,,2020,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
Rata-rata jumlah anggota rumah tangga (orang),4.66,4.83,-,3.63,3.7,-
Persentase kepala rumah tangga wanita,15.88,13.37,-,15.81,15.48,-
Rata-rata usia kepala rumah tangga (tahun),50.75,50.91,-,48.55,49.75,-
Rata-rata lama sekolah kepala rumah tangga (tahun),5.86,-,-,8.43,-,-
Tingkat pendidikan kepala rumah tangga (%),-,-,-,-,-,-
a. Tidak tamat SD,33.27,29.68,-,18.25,18.36,-
b. SD,37.16,37.03,-,28.13,28.63,-
c. SMP,13.82,14.99,-,15.21,15.45,-
d. SMA,14.31,16.61,-,28.72,27.83,-
e. PT,1.44,1.7,-,9.69,9.74,-
Sumber penghasilan utama rumah tangga (%),-,-,-,-,-,-
a. Tidak Bekerja,15.02,14.76,-,13.2,15.54,-
b. Pertanian,46.3,45.78,-,27.33,27.73,-
c. Industri,6.58,6.55,-,9.81,9.38,-
d. Lainnya,32.1,32.91,-,49.66,47.34,-
