Karakteristik Rumah Tangga,,,,,,
,Karakteristik Rumah Tangga Menurut Status Kemisikinan,,,,,
,Rumah Tangga Miskin,,,Rumah Tangga Tidak Miskin,,
,2022,,,2022,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
Rata-rata jumlah anggota rumah tangga (orang),4.74,4.34,-,3.68,3.34,-
Persentase kepala rumah tangga wanita,10.66,13.34,-,12.89,15.35,-
Rata-rata usia kepala rumah tangga (tahun),49.21,49.64,-,48.67,48.8,-
Rata-rata lama sekolah kepala rumah tangga (tahun),6.45,6.63,-,8.63,8.78,-
Tingkat pendidikan kepala rumah tangga (%),-,-,-,-,-,-
a. Tidak tamat SD,25.98,24.74,-,15.07,13.65,-
b. SD,37.69,37.44,-,28.57,28.63,-
c. SMP,16.18,16.46,-,16.58,17.14,-
d. SMA,17.95,18.93,-,28.97,30.1,-
e. PT,2.2,2.44,-,10.81,10.48,-
Sumber penghasilan utama rumah tangga (%),-,-,-,-,-,-
a. Tidak Bekerja,11.03,11.68,-,11.32,11.4,-
b. Pertanian,49.89,50.48,-,31.48,31.53,-
c. Industri,16.66,6.48,-,19.09,8.72,-
d. Lainnya,22.42,31.36,-,38.11,48.35,-
